name,region
United Kingdom,Europe & Central Asia
USSR,Europe & Central Asia
Uzbekistan,Europe & Central Asia
Yugoslavia,Europe & Central Asia
Ã…land,Europe & Central Asia
American Samoa,East Asia & Pacific
Australia,East Asia & Pacific
Brunei,East Asia & Pacific
Cambodia,East Asia & Pacific
China,East Asia & Pacific
Christmas Island,East Asia & Pacific
Cocos Island,East Asia & Pacific
Cook Islands,East Asia & Pacific
Fiji,East Asia & Pacific
French Polynesia,East Asia & Pacific
Guam,East Asia & Pacific
"Hong Kong, China",East Asia & Pacific
Indonesia,East Asia & Pacific
Japan,East Asia & Pacific
Kiribati,East Asia & Pacific
"Korea, Dem. Rep.",East Asia & Pacific
"Korea, Rep.",East Asia & Pacific
Laos,East Asia & Pacific
"Macao, China",East Asia & Pacific
Malaysia,East Asia & Pacific
Marshall Islands,East Asia & Pacific
"Micronesia, Fed. Sts.",East Asia & Pacific
Mongolia,East Asia & Pacific
Myanmar,East Asia & Pacific
Nauru,East Asia & Pacific
New Caledonia,East Asia & Pacific
New Zealand,East Asia & Pacific
Niue,East Asia & Pacific
Norfolk Island,East Asia & Pacific
Northern Mariana Islands,East Asia & Pacific
Palau,East Asia & Pacific
Papua New Guinea,East Asia & Pacific
Philippines,East Asia & Pacific
Pitcairn,East Asia & Pacific
Samoa,East Asia & Pacific
Singapore,East Asia & Pacific
Solomon Islands,East Asia & Pacific
Taiwan,East Asia & Pacific
Thailand,East Asia & Pacific
Timor-Leste,East Asia & Pacific
Tokelau,East Asia & Pacific
Tonga,East Asia & Pacific
Tuvalu,East Asia & Pacific
Wallis et Futuna,East Asia & Pacific
Venezuela,America
West Germany,Europe & Central Asia
Western Sahara,Middle East & North Africa
Vietnam,East Asia & Pacific
Virgin Islands (U.S.),America
Vanuatu,East Asia & Pacific
"Korea, United",East Asia & Pacific
